muestras,anio,fecha,hora_inicio,hora_fin,dema_int,dem_inst,aniomovil
185,2017,08-sep,16,17,7891.17386,7860.338867,1
186,2017,08-sep,17,18,7744.14775,7802.115234,1
187,2017,08-sep,18,19,7514.380521,7638.288086,1
188,2017,08-sep,19,20,7231.282162,7424.423828,1
189,2017,08-sep,20,21,7693.439308,7373.561035,1
190,2017,08-sep,21,22,7649.491289,7771.260742,1
191,2017,08-sep,22,23,7475.850651,7523.191406,1
192,2017,08-sep,23,24,7159.460876,7393.53125,1
193,2017,09-sep,0,1,6788.741823,6895.20166,1
194,2017,09-sep,1,2,6650.517885,6768.256836,1
195,2017,09-sep,2,3,6450.2013,6571.455078,1
196,2017,09-sep,3,4,6334.539414,6301.319336,1
197,2017,09-sep,4,5,6338.835849,6369.803223,1
198,2017,09-sep,5,6,6338.362107,6306.825684,1
199,2017,09-sep,6,7,6495.263546,6313.976563,1
200,2017,09-sep,7,8,6792.872013,6657.751465,1
201,2017,09-sep,8,9,7120.118512,6924.09082,1
202,2017,09-sep,9,10,7450.588544,7315.68457,1
203,2017,09-sep,10,11,7585.690722,7438.479492,1
204,2017,09-sep,11,12,7654.547806,7595.826172,1
205,2017,09-sep,12,13,7722.410963,7537.442383,1
206,2017,09-sep,13,14,7647.51044,7690.015625,1
207,2017,09-sep,14,15,7446.833474,7592.850098,1
208,2017,09-sep,15,16,7336.829579,7298.279297,1
209,2017,09-sep,16,17,7242.260416,7337.482422,1
210,2017,09-sep,17,18,7147.518495,7190.666992,1
211,2017,09-sep,18,19,7038.218747,7142.23291,1
212,2017,09-sep,19,20,7010.617838,6981.60791,1
213,2017,09-sep,20,21,7619.466651,7182.69043,1
214,2017,09-sep,21,22,7605.388552,7700.536133,1
215,2017,09-sep,22,23,7259.624072,7449.458008,1
216,2017,09-sep,23,24,6832.085173,7010.07959,1
217,2017,10-sep,0,1,6431.0881,6610.336914,1
218,2017,10-sep,1,2,6122.93993,6171.823242,1
219,2017,10-sep,2,3,5950.145414,5932.083008,1
220,2017,10-sep,3,4,5844.659354,5891.621582,1
221,2017,10-sep,4,5,5821.823221,5810.767578,1
222,2017,10-sep,5,6,5776.023265,5814.54248,1
223,2017,10-sep,6,7,5802.311443,5705.658691,1
224,2017,10-sep,7,8,5719.010734,5781.288574,1
225,2017,10-sep,8,9,5828.978499,5830.205566,1
226,2017,10-sep,9,10,6042.517762,5878.330078,1
227,2017,10-sep,10,11,6194.858022,6198.464844,1
228,2017,10-sep,11,12,6319.932942,6327.908203,1
229,2017,10-sep,12,13,6354.143757,6382.498047,1
230,2017,10-sep,13,14,6348.781517,6308.866211,1
231,2017,10-sep,14,15,6360.760919,6251.211914,1
232,2017,10-sep,15,16,6298.600318,6338.710449,1
233,2017,10-sep,16,17,6228.025584,6318.290527,1
234,2017,10-sep,17,18,6018.380079,6126.537109,1
235,2017,10-sep,18,19,6133.377145,5955.374512,1
236,2017,10-sep,19,20,6402.573918,6214.763672,1
237,2017,10-sep,20,21,7048.08933,6710.612305,1
238,2017,10-sep,21,22,7093.014186,7070.572754,1
239,2017,10-sep,22,23,6857.856627,7043.869141,1
240,2017,10-sep,23,24,6397.335915,6615.365723,1
241,2017,11-sep,0,1,5983.281295,6104.004883,1
242,2017,11-sep,1,2,5759.624733,5788.129395,1
243,2017,11-sep,2,3,5653.262466,5701.296875,1
244,2017,11-sep,3,4,5592.986956,5613.747559,1
245,2017,11-sep,4,5,5668.464361,5547.696777,1
246,2017,11-sep,5,6,5876.095367,5610.953613,1
247,2017,11-sep,6,7,6367.366,6112.65625,1
248,2017,11-sep,7,8,6926.620392,6603.082031,1
249,2017,11-sep,8,9,7242.489113,6946.395996,1
250,2017,11-sep,9,10,7579.840223,7418.491699,1
251,2017,11-sep,10,11,7702.293037,7642.436035,1
252,2017,11-sep,11,12,7885.93482,7787.107422,1
253,2017,11-sep,12,13,7991.619267,7989.530273,1
254,2017,11-sep,13,14,8004.842948,8059.087402,1
255,2017,11-sep,14,15,7965.45178,8068.783203,1
256,2017,11-sep,15,16,8014.380637,7978.225586,1
257,2017,11-sep,16,17,8079.652518,7991.80957,1
258,2017,11-sep,17,18,7910.096661,8066.991211,1
259,2017,11-sep,18,19,7578.218439,7871.516602,1
260,2017,11-sep,19,20,7330.161733,7357.488281,1
261,2017,11-sep,20,21,7899.2054,7471.326172,1
262,2017,11-sep,21,22,7949.560372,8068.470703,1
263,2017,11-sep,22,23,7733.905625,7815.365234,1
264,2017,11-sep,23,24,7286.336945,7691.612793,1
265,2017,12-sep,0,1,6826.080234,7064.009766,1
266,2017,12-sep,1,2,6583.854588,6752.888672,1
267,2017,12-sep,2,3,6443.661018,6545.895508,1
268,2017,12-sep,3,4,6395.355921,6415.463867,1
269,2017,12-sep,4,5,6391.482994,6446.673828,1
270,2017,12-sep,5,6,6513.544405,6296.476563,1
271,2017,12-sep,6,7,6920.213178,6689.635254,1
272,2017,12-sep,7,8,7362.109487,7137.222656,1
273,2017,12-sep,8,9,7596.82426,7295.664063,1
274,2017,12-sep,9,10,7877.093691,7735.598633,1
275,2017,12-sep,10,11,8032.510152,7907.452148,1
276,2017,12-sep,11,12,8130.84378,8012.507813,1
277,2017,12-sep,12,13,8268.075179,8200.220703,1
278,2017,12-sep,13,14,8305.337419,8343.669922,1
279,2017,12-sep,14,15,8233.845229,8132.758301,1
280,2017,12-sep,15,16,8271.479382,8210.479492,1
281,2017,12-sep,16,17,8318.232515,8152.573242,1
282,2017,12-sep,17,18,8187.188996,8281.238281,1
283,2017,12-sep,18,19,7813.23547,8079.526367,1
284,2017,12-sep,19,20,7468.649466,7588.214844,1
285,2017,12-sep,20,21,8056.012701,7581.116699,1
286,2017,12-sep,21,22,8101.777425,8197.918945,1
287,2017,12-sep,22,23,7937.60464,7933.714355,1
288,2017,12-sep,23,24,7533.7467,7809.945313,1
289,2017,13-sep,0,1,7022.789286,7318.625488,1
290,2017,13-sep,1,2,6774.588984,6941.836914,1
291,2017,13-sep,2,3,6614.146086,6579.567383,1
292,2017,13-sep,3,4,6520.69737,6563.524414,1
293,2017,13-sep,4,5,6553.490365,6624.223633,1
294,2017,13-sep,5,6,6634.570415,6678.978516,1
295,2017,13-sep,6,7,7059.197237,6687.260742,1
296,2017,13-sep,7,8,7512.734216,7358.327148,1
297,2017,13-sep,8,9,7772.27023,7545.42627,1
298,2017,13-sep,9,10,8062.226539,7877.522461,1
299,2017,13-sep,10,11,8191.299575,8200.586914,1
300,2017,13-sep,11,12,8301.334406,8165.616211,1
301,2017,13-sep,12,13,8418.175252,8427.810547,1
302,2017,13-sep,13,14,8474.66081,8454.316406,1
303,2017,13-sep,14,15,8400.899876,8438.449219,1
304,2017,13-sep,15,16,8422.238623,8347.371094,1
305,2017,13-sep,16,17,8411.275367,8469.488281,1
306,2017,13-sep,17,18,8215.979999,8233.828125,1
307,2017,13-sep,18,19,7891.40932,8177.44043,1
308,2017,13-sep,19,20,7538.892075,7560.870117,1
309,2017,13-sep,20,21,8105.861833,7714.288086,1
