Hora,Demanda,,,03OCC   .CR-CARGA AREA           .AV
08-ene-19 00:03:44,7252.4453125,,,
08-ene-19 00:03:46,7254.7353515625,,,
08-ene-19 00:03:48,7246.0810546875,,,
08-ene-19 00:03:50,7240.2431640625,,,
08-ene-19 00:03:52,7233.11865234375,,,
08-ene-19 00:03:54,7237.95947265625,,,
08-ene-19 00:03:56,7224.94921875,,,
08-ene-19 00:03:58,7227.8798828125,,,
08-ene-19 00:04:00,7227.8798828125,,,
08-ene-19 00:04:02,7236.32568359375,,,
08-ene-19 00:04:04,7241.8466796875,,,
08-ene-19 00:04:06,7240.826171875,,,
08-ene-19 00:04:08,7243.0791015625,,,
08-ene-19 00:04:10,7235.4990234375,,,
08-ene-19 00:04:12,7240.02685546875,,,
08-ene-19 00:04:14,7235.728515625,,,
08-ene-19 00:04:16,7249.904296875,,,
08-ene-19 00:04:18,7251.3857421875,,,
08-ene-19 00:04:20,7253.52294921875,,,
08-ene-19 00:04:22,7241.28515625,,,
08-ene-19 00:04:24,7234.40185546875,,,
08-ene-19 00:04:26,7238.330078125,,,
08-ene-19 00:04:28,7239.49072265625,,,
08-ene-19 00:04:30,7242.02978515625,,,
08-ene-19 00:04:32,7249.26611328125,,,
08-ene-19 00:04:34,7256.80126953125,,,
08-ene-19 00:04:36,7253.09130859375,,,
08-ene-19 00:04:38,7253.29931640625,,,
08-ene-19 00:04:40,7246.45703125,,,
08-ene-19 00:04:42,7246.515625,,,
08-ene-19 00:04:44,7241.896484375,,,
08-ene-19 00:04:46,7244.2783203125,,,
08-ene-19 00:04:48,7239.857421875,,,
08-ene-19 00:04:50,7244.72265625,,,
08-ene-19 00:04:52,7237.5234375,,,
08-ene-19 00:04:54,7248.8349609375,,,
08-ene-19 00:04:56,7248.06005859375,,,
08-ene-19 00:04:58,7237.025390625,,,
08-ene-19 00:05:00,7238.2275390625,,,
08-ene-19 00:05:02,7245.3037109375,,,
08-ene-19 00:05:04,7245.85400390625,,,
08-ene-19 00:05:06,7239.40625,,,
08-ene-19 00:05:08,7236.32421875,,,
08-ene-19 00:05:10,7237.802734375,,,
08-ene-19 00:05:12,7235.0224609375,,,
08-ene-19 00:05:14,7240.83984375,,,
08-ene-19 00:05:16,7246.171875,,,
08-ene-19 00:05:18,7244.353515625,,,
08-ene-19 00:05:20,7250.8935546875,,,
08-ene-19 00:05:22,7253.697265625,,,
08-ene-19 00:05:24,7264.111328125,,,
08-ene-19 00:05:26,7269.23681640625,,,
08-ene-19 00:05:28,7263.4091796875,,,
08-ene-19 00:05:30,7259.77197265625,,,
08-ene-19 00:05:32,7249.30517578125,,,
08-ene-19 00:05:34,7248.91015625,,,
08-ene-19 00:05:36,7246.2060546875,,,
08-ene-19 00:05:38,7244.494140625,,,
08-ene-19 00:05:40,7243.525390625,,,
08-ene-19 00:05:42,7247.81689453125,,,
08-ene-19 00:05:44,7246.33203125,,,
08-ene-19 00:05:46,7257.17919921875,,,
