seg,ver_comp,inv_comp
264,8604.420898,5990.995117
266,8597.485352,5997.729492
268,8597.485352,5993.963867
270,8605.758789,5985.111328
272,8594.126953,5984.353516
274,8594.126953,5971.313965
276,8601.160156,5979.750977
278,8591.113281,5980.776367
280,8595.0625,5979.796875
282,8595.411133,5972.339355
284,8595.411133,5981.72168
286,8583.336914,5987.589355
288,8583.336914,5988.275391
290,8586.570313,5974.541504
292,8618.660156,5972.572266
294,8618.936523,5968.119141
296,8618.936523,5971.893555
298,8605.826172,5968.700195
300,8642.574219,5966.584961
302,8649.59668,5972.405273
304,8649.875,5977.614258
306,8649.875,5973.955566
308,8655.427734,5976.723633
310,8649.186523,5976.003906
312,8655.117188,5969.427734
314,8631.500977,5969.220215
316,8633.152344,5977.270508
318,8641.459961,5973.140625
320,8641.459961,5967.922852
322,8650.758789,5969.20459
324,8643.085938,5975.3125
326,8635.058594,5979.606934
328,8629.785156,5982.677734
330,8629.142578,5973.27832
332,8628.601563,5976.121094
334,8628.886719,5967.466797
336,8633.640625,5965.311035
338,8633.640625,5962.45459
340,8633.87793,5963.395508
342,8616.564453,5965.115234
344,8618.916016,5966.665527
346,8617.003906,5960.583008
348,8624.579102,5965.9375
350,8629.367188,5971.500488
352,8629.367188,5971.40918
354,8627.952148,5972.827637
356,8630.436523,5977.433105
358,8630.436523,5979.633301
360,8647.648438,5975.287109
362,8647.648438,5975.373047
364,8640.117188,5973.943848
366,8642.651367,5975.075195
368,8642.651367,5972.460938
370,8621.59668,5967.313477
372,8621.59668,5968.780273
374,8576.765625,5980.457031
376,8566.625977,5980.533691
378,8566.625977,5971.295898
380,8568.302734,5981.157715
382,8568.302734,5987.89209
384,8569.773438,5994.695313
386,8557.523438,5996.713867
388,8551.038086,5991.680664
390,8551.755859,5988.889648
392,8550.545898,5991.619141
394,8557.306641,5990.206543
396,8557.306641,5982.157227
398,8555.740234,5986.475586
400,8538.967773,5986.585938
402,8545.300781,5992.610352
404,8545.300781,5983.903809
406,8546.265625,5983.513672
408,8554.908203,5986.884766
410,8553.587891,5983.824219
412,8558.786133,5979.390625
414,8558.786133,5976.293945
416,8547.544922,5982.37793
418,8547.544922,5980.176758
420,8545.267578,5976.211426
422,8550.750977,5968.424805
424,8544.606445,5976.780762
426,8514.668945,5971.74707
428,8506.200195,5960.733887
430,8506.200195,5958.955078
432,8499.988281,5964.209473
434,8532.282227,5962.291016
436,8547.902344,5971.52832
438,8544.419922,5969.818359
440,8537.181641,5966.161621
442,8537.181641,5962.993164
444,8547.351563,5968.947266
446,8547.599609,5964.013672
448,8549.211914,5969.917969
450,8545.849609,5971.444824
452,8548.427734,5967.898926
454,8552.973633,5964.45459
456,8556.027344,5959.128418
458,8556.027344,5947.920898
460,8552.728516,5944.672363
462,8538.274414,5945.430664
464,8538.274414,5953.335938
466,8532.148438,5962.094727
468,8526.317383,5966.149414
470,8526.317383,5964.429688
472,8533.299805,5966.68457
474,8533.299805,5963.722656
476,8529.942383,5964.112305
478,8529.942383,5962.06543
480,8529.509766,5962.961914
482,8497.814453,5964.948242
484,8497.814453,5964.276367
486,8486.28418,5967.045898
488,8477.795898,5967.302246
490,8470.587891,5962.737793
492,8461.492188,5961.93457
494,8461.873047,5967.855469
496,8464.460938,5966.009766
498,8463.601563,5974.145508
500,8463.601563,5958.137695
502,8465.089844,5951.272461
504,8465.089844,5961.200195
506,8450.438477,5961.508789
508,8450.438477,5969.701172
510,8461.079102,5963.820313
512,8468.306641,5958.315918
514,8468.306641,5954.808594
516,8465.027344,5956.291016
518,8457.90332,5959.723633
520,8455.158203,5960.780273
522,8455.158203,5959.035156
524,8449.183594,5966.491699
526,8449.183594,5961.771484
528,8447.240234,5955.890625
530,8450.389648,5958.287109
532,8450.389648,5951.144531
534,8459.129883,5952.263672
536,8480.110352,5948.001465
538,8479.076172,5953.087891
540,8486.359375,5954.897461
542,8486.359375,5956.025879
544,8478.996094,5960.818359
546,8469.738281,5964.140625
548,8473.303711,5964.274414
550,8470.525391,5966.407715
552,8470.525391,5965.694336
554,8478.007813,5966.984375
556,8483.376953,5966.369141
558,8480.158203,5961.362305
560,8480.158203,5964.245117
562,8489.443359,5955.538086
564,8487.344727,5954.992676
566,8524.600586,5956.770996
568,8524.600586,5962.435547
570,8523.100586,5953.883789
572,8527.626953,5964.399414
574,8527.626953,5962.848633
576,8537.125977,5965.89502
578,8543.417969,5960.138672
580,8542.804688,5960.640137
582,8545.283203,5963.03418
584,8529.681641,5961.562988
586,8532.383789,5959.483398
588,8529.998047,5958.459961
590,8531.583984,5956.40918
592,8529.768555,5958.852539
594,8529.768555,5961.089844
596,8528.162109,5958.197266
598,8528.162109,5958.805176
600,8530.266602,5964.633789
602,8526.386719,5961.239258
604,8525.466797,5950.644043
606,8527.625,5953.299805
608,8527.625,5945.968262
610,8528.899414,5954.771484
612,8534.819336,5947.967773
614,8531.504883,5949.234375
616,8535.317383,5949.553711
618,8532.754883,5951.675781
620,8532.754883,5955.938477
622,8530.431641,5957.143066
624,8533.017578,5949.192383
626,8543.038086,5948.537109
628,8543.038086,5949.441406
630,8541.849609,5950.678711
632,8551.795898,5954.504883
634,8543.359375,5959.577637
636,8544.139648,5957.16748
638,8544.139648,5958.798828
640,8542.625,5959.345215
642,8540.279297,5959.690918
644,8529.554688,5957.051758
646,8529.554688,5951.359863
648,8536.060547,5957.145996
650,8546.263672,5950.691406
652,8539.660156,5954.95459
654,8539.660156,5959.34375
656,8545.96582,5950.396484
658,8538.146484,5992.322754
660,8536.323242,5995.789551
662,8536.323242,5997.285156
664,8541.396484,5991.40332
666,8529.897461,5985.306641
668,8510.948242,5978.78418
670,8510.948242,5978.129883
672,8518.073242,5973.535156
674,8517.813477,5976.318359
676,8515.320313,5972.228516
678,8515.320313,5964.946777
680,8512.859375,5957.282715
682,8512.859375,5951.836914
684,8515.946289,5957.023438
686,8515.946289,5949.93457
688,8521.28125,5946.079102
690,8517.30957,5940.864258
692,8513.396484,5893.216797
694,8522.964844,5897.970703
696,8529.208984,5902.088867
698,8526.97168,5891.813477
700,8522.327148,5895.930176
702,8522.327148,5895.577637
704,8514.241211,5898.338379
706,8518.086914,5895.518066
708,8517.708984,5879.371094
710,8507.540039,5874.092773
712,8507.742188,5866.12793
714,8498.146484,5871.696289
716,8500.388672,5873.210938
718,8494.088867,5874.630859
720,8479.364258,5876.834961
722,8481.166016,5887.844727
724,8478.337891,5878.654297
726,8490.453125,5878.360352
728,8490.453125,5872.526367
730,8483.821289,5873.541504
732,8484.035156,5869.389648
734,8491.572266,5872.699219
736,8487.505859,5880.930664
738,8487.505859,5872.666992
740,8486.763672,5871.479492
742,8479.607422,5866.887695
744,8476.516602,5861.81543
746,8473.460938,5865.852539
748,8473.460938,5873.109375
750,8485.086914,5870.505859
752,8489.036133,5874.628906
754,8478.0625,5872.852051
756,8492.696289,5870.033691
758,8493.779297,5870.253906
760,8493.779297,5868.641602
762,8494.088867,5873.079102
764,8496.969727,5860.889648
766,8496.969727,5863.046875
768,8493.276367,5863.27002
770,8493.276367,5859.301758
772,8487.78418,5860.049805
774,8478.890625,5860.59668
776,8483.922852,5863.523926
778,8497.411133,5862.240723
780,8494.78418,5858.557617
782,8494.78418,5848.160156
784,8491.696289,5846.451172
786,8505.44043,5860.70166
788,8505.44043,5865.83252
790,8503.397461,5870.283691
792,8503.397461,5862.540039
794,8497.157227,5864.22998
796,8492.889648,5869.586914
798,8502.176758,5869.990234
800,8502.176758,5891.589844
802,8496.701172,5899.201172
804,8515.517578,5914.333008
806,8515.517578,5916.225586
808,8528.723633,5919.294922
810,8528.723633,5927.094727
812,8535.671875,5920.213867
814,8516.833008,5918.833984
816,8528.894531,5920.90332
818,8566.601563,5918.853516
820,8566.601563,5922.59375
822,8552.256836,5921.551758
824,8556.249023,5915.529297
826,8575.495117,5926.785156
828,8587.894531,5924.494141
830,8588.09668,5919.98877
832,8584.959961,5919.520508
834,8585.870117,5921.076172
836,8588.612305,5917.96875
838,8585.633789,5917.308594
840,8585.633789,5926.037109
842,8582.40625,5921.675293
844,8575.375,5921.075195
846,8590.037109,5908.52832
848,8582.874023,5900.376953
850,8582.874023,5897.100586
852,8597.097656,5895.900391
854,8597.097656,5823.057617
856,8604.05957,5820.71875
858,8604.05957,5835.280273
860,8602.112305,5836.249023
862,8596.086914,5841.821289
864,8596.086914,5834.236328
866,8591.832031,5835.913574
868,8602.75,5834.811523
870,8602.75,5831.895996
872,8604.023438,5832.667969
874,8612.984375,5834.632813
876,8612.654297,5834.71582
878,8605.328125,5834.837891
880,8606.378906,5837.548828
882,8598.286133,5842.732422
884,8603.759766,5833.117676
886,8603.759766,5829.994141
888,8585.884766,5833.723633
890,8585.884766,5824.534668
892,8536.949219,5825.892578
894,8536.949219,5822.599609
896,8530.416992,5829.720703
898,8530.612305,5818.701172
900,8530.612305,5821.165039
902,8518.482422,5837.560059
904,8534.573242,5840.913086
906,8534.742188,5837.01416
908,8533.435547,5840.513672
910,8525.849609,5833.863281
912,8525.849609,5825.742676
914,8524.966797,5819.715332
916,8512.363281,5827.114258
918,8493.901367,5823.176758
920,8503.686523,5822.439453
922,8503.686523,5820.746094
924,8511.009766,5820.927734
926,8495.839844,5830.648438
928,8485.923828,5855.370117
930,8505.407227,5870.512695
932,8511.833984,5878.204102
934,8517.424805,5887.480469
936,8517.424805,5893.491699
938,8521.96582,5913.280273
940,8534.012695,5918.795898
942,8518.702148,5914.648438
944,8522.595703,5908.303223
946,8525.145508,5916.491211
948,8520.043945,5922.338867
950,8520.043945,5920.939941
952,8524.364258,5918.485352
954,8525.983398,5922.625977
956,8536.742188,5918.618652
958,8536.742188,5918.411133
960,8537.473633,5919.65332
962,8537.473633,5928.689941
964,8531.354492,5941.449219
966,8536.539063,5910.102539
968,8536.539063,5877.848145
970,8552.032227,5880.489258
972,8542.311523,5877.686035
974,8542.311523,5853.413086
976,8540.668945,5861.237305
978,8540.668945,5888.8125
980,8545.233398,5931.336914
982,8555.490234,5930.963379
984,8555.853516,5938.175781
986,8561.555664,5948.240234
988,8559.716797,5947.326172
990,8560.955078,5960.141602
992,8560.955078,5951.624023
994,8563.425781,5954.365234
996,8563.425781,5951.998047
998,8554.091797,5958.019043
1000,8564.287109,5958.415039
1002,8566.575195,5964.999023
1004,8578.767578,5962.502441
1006,8560.74707,5960.903809
1008,8568.75,5959.586914
1010,8568.75,5955.501465
1012,8562.56543,5958.087891
1014,8568.544922,5962.506836
1016,8567.264648,5964.666504
1018,8570.206055,5949.59082
1020,8570.206055,5951.379883
1022,8579.452148,5964.799805
1024,8579.582031,5973.246094
1026,8569.390625,5975.566895
1028,8569.390625,5965.521484
1030,8568.867188,5962.07373
1032,8573.564453,5961.978516
1034,8580.598633,5970.881836
1036,8580.598633,5973.628906
1038,8573.109375,5978.132813
1040,8573.109375,5978.254883
1042,8564.530273,5979.724609
1044,8564.530273,5973.404297
1046,8543.737305,5969.518555
1048,8567.77832,5965.779297
1050,8571.410156,5964.296875
1052,8571.410156,5967.735352
1054,8568.145508,5957.322266
1056,8569.161133,5952.003906
1058,8578.053711,5937.862793
1060,8579.192383,5925.783203
1062,8569.296875,5921.221191
1064,8569.296875,5910.974609
1066,8578.895508,5916.373047
1068,8568.058594,5913.720703
1070,8574.419922,5913.720703
1072,8581.611328,5915.307129
1074,8582.311523,5908.728516
1076,8582.311523,5905.568848
1078,8587.311523,5914.563477
1080,8612.548828,5899.235352
1082,8626.901367,5907.352539
1084,8622.000977,5909.350098
1086,8622.000977,5904.735352
1088,8621.797852,5908.705078
1090,8612.267578,5904.825195
1092,8619.166016,5906.279297
1094,8619.166016,5902.963867
1096,8613.633789,5913.65625
1098,8614.454102,5914.74707
1100,8614.454102,5914.088867
1102,8615.428711,5913.381836
1104,8611.425781,5908.90625
1106,8601.496094,5896.389648
1108,8600.8125,5905.561523
1110,8600.8125,5907.38623
1112,8600.262695,5910.191406
1114,8596.736328,5913.555664
1116,8604.890625,5915.724609
1118,8604.890625,5909.912109
1120,8608.15625,5907.468262
1122,8608.15625,5910.404297
1124,8611.304688,5908.462402
1126,8612.78125,5905.163086
1128,8612.78125,5905.233398
1130,8605.609375,5914.457031
1132,8610.253906,5909.787109
1134,8613.125,5911.395996
1136,8611.230469,5901.277344
1138,8611.230469,5908.007813
1140,8607.505859,5909.78418
1142,8600.379883,5899.033203
1144,8603.640625,5907.711914
1146,8603.640625,5907.875
1148,8607.792969,5905.157227
1150,8607.292969,5910.606445
1152,8607.292969,5914.839355
1154,8601.408203,5914.142578
1156,8603.320313,5913.99707
1158,8603.320313,5910.828125
1160,8597.044922,5912.011719
1162,8596.433594,5920.470703
1164,8596.433594,5917.419922
1166,8596.040039,5914.704102
1168,8596.040039,5909.199707
1170,8594.386719,5915.775391
1172,8594.386719,5917.687988
1174,8595.277344,5905.29248
1176,8592.573242,5911.760254
1178,8581.166016,5917.080566
1180,8581.166016,5917.080566
1182,8560.514648,5907.741699
1184,8560.514648,5900.178711
1186,8556.25,5908.117676
1188,8551.796875,5911.021973
1190,8547.444336,5886.850586
1192,8547.444336,5874.861328
1194,8554.90625,5864.053711
1196,8554.90625,5862.118164
1198,8538.894531,5828.861328
1200,8542.897461,5812.662109
1202,8542.897461,5807.26416
1204,8531.756836,5798.591797
1206,8541.011719,5802.738281
1208,8541.011719,5815.470215
1210,8531.936523,5810.958008
1212,8531.573242,5819.12793
1214,8531.573242,5828.075195
1216,8552.826172,5850.479492
1218,8541.044922,5857.696289
1220,8541.044922,5901.677734
1222,8537.949219,5902.521973
1224,8537.949219,5905.422852
1226,8531.986328,5910.46875
1228,8532.739258,5913.345215
1230,8532.739258,5902.683105
1232,8527.823242,5913.543945
1234,8534.478516,5909.736328
1236,8534.478516,5914.914063
1238,8540.167969,5913.792969
1240,8549.796875,5916.678711
1242,8535.445313,5912.167969
1244,8535.445313,5911.697266
1246,8547.022461,5905.540039
1248,8547.022461,5898.967773
1250,8543.164063,5901.879395
1252,8533.558594,5899.222656
1254,8521.960938,5902.244629
1256,8527.036133,5914.293945
1258,8527.036133,5903.880859
1260,8530.717773,5895.791504
1262,8520.623047,5885.130859
1264,8510.493164,5901.638672
1266,8509.124023,5897.250488
1268,8504.984375,5896.334961
1270,8529.830078,5894.616211
1272,8529.435547,5922.3125
1274,8529.435547,5896.425293
1276,8524.307617,5900.859375
1278,8528.097656,5899.860352
1280,8520.876953,5891.40332
1282,8520.876953,5876.833984
1284,8518.52832,5870.100098
1286,8499.277344,5878.813477
1288,8499.277344,5879.095703
1290,8486.261719,5881.158203
1292,8468.764648,5885.597168
1294,8447.930664,5881.476563
1296,8441.291992,5876.12793
1298,8401.192383,5882.335938
1300,8394.495117,5878.290039
1302,8394.495117,5873.9375
1304,8394.019531,5867.392578
1306,8394.802734,5891.47168
1308,8391.805664,5888.957031
1310,8389.578125,5877.964355
1312,8386.892578,5876.384766
1314,8398.345703,5880.050781
1316,8398.345703,5874.790527
1318,8393.493164,5872.984375
1320,8403.376953,5867.785156
1322,8403.376953,5863.882813
1324,8418.554688,5863.125488
1326,8418.182617,5859.448242
1328,8410.544922,5863.079102
1330,8410.544922,5864.053711
1332,8417.431641,5862.469238
1334,8407.15625,5868.849609
1336,8409.998047,5868.395508
1338,8405.889648,5868.646973
1340,8421.667969,5868.451172
1342,8414.805664,5866.231445
1344,8409.164063,5869.689453
1346,8409.164063,5867.038574
1348,8405.369141,5873.431641
1350,8403.021484,5868.90625
1352,8390.197266,5869.693359
1354,8390.197266,5871.303711
1356,8407.692383,5870.081055
1358,8407.692383,5871.842773
1360,8407.836914,5873.570801
1362,8377.797852,5871.65332
1364,8385.866211,5868.015625
1366,8391.811523,5866.120117
1368,8385.902344,5872.673828
1370,8380.62207,5866.171875
1372,8380.62207,5861.80957
1374,8371.681641,5867.327148
1376,8380.543945,5868.186523
1378,8389.145508,5862.679688
1380,8389.145508,5867.063477
1382,8389.145508,5881.338379
1384,8421.791016,5891.010254
1386,8442.361328,5890.660156
1388,8442.361328,5876.384766
1390,8457.875977,5867.646484
1392,8466.714844,5870.322266
1394,8466.714844,5869.902344
1396,8475.834961,5877.338867
1398,8478.823242,5886.041992
1400,8484.107422,5886.886719
1402,8482.59375,5872.610352
1404,8480.887695,5868.220703
1406,8480.887695,5875.196289
1408,8472.426758,5866.854004
1410,8481.96875,5871.555664
1412,8485.015625,5869.128906
1414,8483.933594,5866.560059
1416,8483.933594,5865.781738
1418,8492.193359,5857.062988
1420,8505.116211,5865.021484
1422,8509.40918,5860.197266
1424,8509.802734,5861.977051
1426,8509.802734,5861.046875
1428,8521.358398,5858.583008
1430,8546.461914,5858.972656
1432,8548.103516,5861.162109
1434,8548.103516,5862.706543
1436,8539.693359,5863.830078
1438,8540.111328,5861.231934
1440,8547.953125,5855.625
1442,8547.953125,5841.325684
1444,8540.714844,5803.070801
1446,8531.8125,5798.567383
1448,8538.891602,5790.952637
1450,8524.930664,5800.234863
1452,8533.253906,5795.604492
1454,8533.253906,5790.292969
1456,8537.647461,5784.29834
1458,8539.746094,5777.432617
1460,8551.082031,5804.499023
1462,8544.886719,5817.15625
1464,8544.886719,5808.561523
1466,8538.511719,5809.53125
1468,8538.511719,5795.617188
1470,8525.697266,5795.217773
1472,8528.958008,5792.458008
1474,8528.958008,5786.898438
1476,8532.470703,5791.103027
1478,8541.916992,5788.611328
1480,8537.397461,5793.277344
1482,8547.379883,5774.940918
1484,8547.379883,5771.270508
1486,8544.200195,5769.270508
1488,8519.658203,5768.265137
1490,8520.693359,5773.306152
1492,8520.693359,5772.641602
1494,8508.240234,5774.687012
1496,8511.750977,5786.657715
1498,8511.349609,5783.663086
1500,8511.558594,5773.856934
1502,8511.558594,5784.237305
1504,8522.539063,5780.843262
1506,8546.080078,5784.438477
1508,8551.555664,5782.312988
1510,8551.555664,5779.529297
1512,8559.292969,5779.529297
1514,8559.292969,5779.293945
1516,8532.103516,5781.62207
1518,8530.771484,5783.14209
1520,8527.019531,5787.390625
1522,8527.019531,5785.925293
1524,8508.65625,5790.130859
1526,8517.675781,5784.5
1528,8520.06543,5783.347656
1530,8520.152344,5782.956055
1532,8509.532227,5777.526367
1534,8509.532227,5784.146484
1536,8519.530273,5791.569336
1538,8519.530273,5788.195313
1540,8522.929688,5784.851563
1542,8522.929688,5781.483398
1544,8514.538086,5769.193359
1546,8510.242188,5776.399414
1548,8518.264648,5769.320313
1550,8518.264648,5768.293457
1552,8509.90918,5766.384766
1554,8510.521484,5770.899902
1556,8493.634766,5779.72168
1558,8496.456055,5783.97168
1560,8496.456055,5774.102539
1562,8490.274414,5776.115234
1564,8493.368164,5777.426758
1566,8493.368164,5781.643555
1568,8493.822266,5769.270508
1570,8495.72168,5766.797852
1572,8495.72168,5767.796875
1574,8492.65918,5778.214844
1576,8490.477539,5771.169922
1578,8494.822266,5772.030273
1580,8494.822266,5768.378418
1582,8487.404297,5771.328125
1584,8488.625,5756.131348
1586,8485.980469,5761.333496
1588,8485.980469,5759.206055
1590,8488.803711,5757.539063
1592,8518.658203,5758.475586
1594,8507.401367,5762.499512
1596,8507.401367,5774.566406
1598,8494.681641,5770.907227
1600,8499.329102,5761.355469
1602,8499.329102,5761.72998
1604,8484.962891,5766.799805
1606,8487.801758,5768.497559
1608,8501.902344,5769.335938
1610,8501.902344,5766.810547
1612,8501.637695,5766.239258
1614,8498.742188,5755.630371
1616,8494.175781,5761.295898
1618,8495.390625,5763.708008
1620,8488.21582,5760.242676
1622,8488.21582,5755.947266
1624,8484.519531,5759.304199
1626,8495.330078,5756.782227
1628,8495.330078,5755.004395
1630,8490.915039,5759.584473
1632,8501.069336,5760.038086
1634,8501.069336,5745.202148
1636,8514.987305,5744.904297
1638,8516.532227,5744.319824
1640,8516.532227,5742.651367
1642,8519.283203,5762.257813
1644,8522.955078,5771.680176
1646,8515.949219,5762.71582
1648,8512.492188,5771.516602
1650,8503.408203,5787.135742
1652,8503.408203,5779.820801
1654,8456.797852,5770.919434
1656,8444.208984,5770.257324
1658,8430.564453,5765.957031
1660,8430.564453,5765.085938
1662,8423.354492,5763.987305
1664,8439.672852,5753.255859
1666,8448.578125,5748.576172
1668,8467.279297,5754.008789
1670,8467.279297,5751.805664
1672,8516.279297,5740.327148
1674,8516.279297,5732.141113
1676,8523.618164,5696.427734
1678,8524.457031,5700.848633
1680,8530.021484,5710.37793
1682,8537.870117,5690.026367
1684,8547.454102,5666.456055
1686,8546.098633,5668.90918
1688,8550.293945,5664.810547
1690,8541.360352,5679.211914
1692,8541.360352,5664.761719
1694,8554.183594,5674.448242
1696,8552.076172,5673.010254
1698,8550.648438,5675.192871
1700,8550.648438,5679.717285
1702,8550.826172,5683.081055
1704,8550.826172,5680.266113
1706,8543.423828,5668.063477
1708,8531.557617,5676.074707
1710,8527.044922,5664.697266
1712,8527.044922,5661.282227
1714,8519.472656,5657
1716,8520.905273,5670.748047
1718,8520.905273,5666.550293
1720,8518.270508,5670.155273
1722,8528.469727,5670.686035
1724,8528.469727,5669.993164
1726,8531.314453,5673.694336
1728,8527.632813,5674.541992
1730,8528.242188,5673.480957
1732,8529.547852,5675.34082
1734,8529.547852,5669.231445
1736,8526.742188,5671.010254
1738,8517.193359,5664.701172
1740,8517.193359,5664.432617
1742,8516.051758,5660.59375
1744,8515.337891,5663.40918
1746,8515.337891,5661.323242
1748,8517.445313,5663.752441
1750,8505.224609,5664.987305
1752,8525.626953,5664.738281
1754,8525.626953,5662.259766
1756,8519.922852,5660.964844
1758,8524.385742,5660.647461
1760,8530.036133,5662.025879
1762,8530.036133,5662.168945
1764,8518.570313,5664.569336
1766,8517.5,5671.181641
1768,8517.5,5656.051758
1770,8512.435547,5661.694824
1772,8512.435547,5661.181641
1774,8512.435547,5652.10498
1776,8506.358398,5653.293945
1778,8514.150391,5656.77832
1780,8514.150391,5665.297852
1782,8517.519531,5668.25293
1784,8517.94043,5663.481445
1786,8506.240234,5663.569824
1788,8509.137695,5661.339844
1790,8509.137695,5665.10498
1792,8510.639648,5666.387695
1794,8495.78418,5665.665039
1796,8471.037109,5660.608398
1798,8471.037109,5677.352539
1800,8461.62793,5672.18457
1802,8461.62793,5656.17627
1804,8447.791992,5657.242188
1806,8440.851563,5661.509277
1808,8422.433594,5655.419922
1810,8422.433594,5667.393066
1812,8424.918945,5669.576172
1814,8411.763672,5662.620117
1816,8395.584961,5663.006836
1818,8395.584961,5658.99707
1820,8405.84668,5657.466797
1822,8405.84668,5661.667969
1824,8412.667969,5660.77002
1826,8412.667969,5667.379883
1828,8403.828125,5649.234375
1830,8405.644531,5652.335938
1832,8405.644531,5651.795898
1834,8395.40625,5648.149414
1836,8402.753906,5650.401367
1838,8405.708008,5643.482422
1840,8408.15332,5644.231445
1842,8408.15332,5641.521484
1844,8401.355469,5633.588867
1846,8398.813477,5640.648926
1848,8397.822266,5648.890137
1850,8382.115234,5652.771484
1852,8382.115234,5663.306152
1854,8382.925781,5661.870117
1856,8377.553711,5653.047852
1858,8377.553711,5652.46582
1860,8376.395508,5649.961914
1862,8377.785156,5640.537598
1864,8379.28125,5643.015137
1866,8375.826172,5641.750977
1868,8369.518555,5640.098145
1870,8361.830078,5648.637695
1872,8364.311523,5648.637695
1874,8354.287109,5654.393555
1876,8354.287109,5649.38916
1878,8316.955078,5644.079102
1880,8320.520508,5649.174805
1882,8317.098633,5644.222168
1884,8309.673828,5642.558594
1886,8309.673828,5642.558594
1888,8319.546875,5650.376953
1890,8319.546875,5650.882813
1892,8322.904297,5654.70166
1894,8321.976563,5651.691895
1896,8307.907227,5651.188477
1898,8313.21875,5643.233398
1900,8319.152344,5653.771973
1902,8319.152344,5652.614258
1904,8311.076172,5646.545898
1906,8308.196289,5647.892578
1908,8308.925781,5646.541016
1910,8308.925781,5642.78418
1912,8311.992188,5650.976074
1914,8307.008789,5651.509766
1916,8299.948242,5655.098633
1918,8299.948242,5653.149414
1920,8308.293945,5649.614746
1922,8317.551758,5653.006836
1924,8331.84668,5644.425293
1926,8336.214844,5642.708008
1928,8328.834961,5648.112305
1930,8328.834961,5646.902344
